Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_miami,1000,0,N/A,N/A,0.490000,1000,490,20260428_214010
MWPM,3,3,ibm_miami,1000,0,N/A,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
CNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.488000,1000,488,20260428_214010
MWPM+CNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
CNN+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.453000,1000,453,20260428_214010
CNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.487000,1000,487,20260428_214010
MWPM+CNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
CNN+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.444000,1000,444,20260428_214010
CNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.490000,1000,490,20260428_214010
MWPM+CNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
CNN+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.444000,1000,444,20260428_214010
GCNII,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.513000,1000,513,20260428_214010
MWPM+GCNII,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
GCNII+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.536000,1000,536,20260428_214010
GCNII,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.510000,1000,510,20260428_214010
MWPM+GCNII,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
GCNII+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.544000,1000,544,20260428_214010
GCNII,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.510000,1000,510,20260428_214010
MWPM+GCNII,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
GCNII+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.494000,1000,494,20260428_214010
APPNP,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.491000,1000,491,20260428_214010
MWPM+APPNP,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
APPNP+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.453000,1000,453,20260428_214010
APPNP,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.510000,1000,510,20260428_214010
MWPM+APPNP,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
APPNP+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.497000,1000,497,20260428_214010
APPNP,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.510000,1000,510,20260428_214010
MWPM+APPNP,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
APPNP+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.488000,1000,488,20260428_214010
GraphTransformer,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.489000,1000,489,20260428_214010
MWPM+GraphTransformer,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
GraphTransformer+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.442000,1000,442,20260428_214010
GraphTransformer,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.490000,1000,490,20260428_214010
MWPM+GraphTransformer,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.476000,1000,476,20260428_214010
GraphTransformer+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.443000,1000,443,20260428_214010
GraphTransformer,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.487000,1000,487,20260428_214010
