Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
CNN,3,3,ibm_yonsei,1000,0.005,X,0.482000,1000,482,20260328_063748
CNN,3,3,ibm_yonsei,1000,0.01,X,0.482000,1000,482,20260328_063748
CNN,3,3,ibm_yonsei,1000,0.05,X,0.518000,1000,518,20260328_063748
GCNII,3,3,ibm_yonsei,1000,0.005,X,0.518000,1000,518,20260328_063748
GCNII,3,3,ibm_yonsei,1000,0.01,X,0.518000,1000,518,20260328_063748
GCNII,3,3,ibm_yonsei,1000,0.05,X,0.518000,1000,518,20260328_063748
APPNP,3,3,ibm_yonsei,1000,0.005,X,0.518000,1000,518,20260328_063748
APPNP,3,3,ibm_yonsei,1000,0.01,X,0.517000,1000,517,20260328_063748
APPNP,3,3,ibm_yonsei,1000,0.05,X,0.482000,1000,482,20260328_063748
GraphTransformer,3,3,ibm_yonsei,1000,0.005,X,0.482000,1000,482,20260328_063748
GraphTransformer,3,3,ibm_yonsei,1000,0.01,X,0.487000,1000,487,20260328_063748
GraphTransformer,3,3,ibm_yonsei,1000,0.05,X,0.482000,1000,482,20260328_063748
GCN,3,3,ibm_yonsei,1000,0.005,X,0.483000,1000,483,20260328_063748
GCN,3,3,ibm_yonsei,1000,0.01,X,0.517000,1000,517,20260328_063748
GCN,3,3,ibm_yonsei,1000,0.05,X,0.522000,1000,522,20260328_063748
GAT,3,3,ibm_yonsei,1000,0.005,X,0.498000,1000,498,20260328_063748
GAT,3,3,ibm_yonsei,1000,0.01,X,0.496000,1000,496,20260328_063748
GAT,3,3,ibm_yonsei,1000,0.05,X,0.498000,1000,498,20260328_063748
GNN,3,3,ibm_yonsei,1000,0.005,X,0.482000,1000,482,20260328_063748
GNN,3,3,ibm_yonsei,1000,0.01,X,0.482000,1000,482,20260328_063748
GNN,3,3,ibm_yonsei,1000,0.05,X,0.482000,1000,482,20260328_063748
GraphMamba,3,3,ibm_yonsei,1000,0.005,X,0.472000,1000,472,20260328_063748
GraphMamba,3,3,ibm_yonsei,1000,0.01,X,0.493000,1000,493,20260328_063748
GraphMamba,3,3,ibm_yonsei,1000,0.05,X,0.479000,1000,479,20260328_063748
