Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
CNN,3,3,ibm_yonsei,1000,0.005,X,0.517000,1000,517,20260329_053149
CNN,3,3,ibm_yonsei,1000,0.01,X,0.517000,1000,517,20260329_053149
CNN,3,3,ibm_yonsei,1000,0.05,X,0.483000,1000,483,20260329_053149
GCNII,3,3,ibm_yonsei,1000,0.005,X,0.483000,1000,483,20260329_053149
GCNII,3,3,ibm_yonsei,1000,0.01,X,0.483000,1000,483,20260329_053149
GCNII,3,3,ibm_yonsei,1000,0.05,X,0.483000,1000,483,20260329_053149
APPNP,3,3,ibm_yonsei,1000,0.005,X,0.483000,1000,483,20260329_053149
APPNP,3,3,ibm_yonsei,1000,0.01,X,0.488000,1000,488,20260329_053149
APPNP,3,3,ibm_yonsei,1000,0.05,X,0.517000,1000,517,20260329_053149
GraphTransformer,3,3,ibm_yonsei,1000,0.005,X,0.477000,1000,477,20260329_053149
GraphTransformer,3,3,ibm_yonsei,1000,0.01,X,0.514000,1000,514,20260329_053149
GraphTransformer,3,3,ibm_yonsei,1000,0.05,X,0.517000,1000,517,20260329_053149
GCN,3,3,ibm_yonsei,1000,0.005,X,0.511000,1000,511,20260329_053149
GCN,3,3,ibm_yonsei,1000,0.01,X,0.516000,1000,516,20260329_053149
GCN,3,3,ibm_yonsei,1000,0.05,X,0.484000,1000,484,20260329_053149
GAT,3,3,ibm_yonsei,1000,0.005,X,0.487000,1000,487,20260329_053149
GAT,3,3,ibm_yonsei,1000,0.01,X,0.493000,1000,493,20260329_053149
GAT,3,3,ibm_yonsei,1000,0.05,X,0.512000,1000,512,20260329_053149
GNN,3,3,ibm_yonsei,1000,0.005,X,0.517000,1000,517,20260329_053149
GNN,3,3,ibm_yonsei,1000,0.01,X,0.516000,1000,516,20260329_053149
GNN,3,3,ibm_yonsei,1000,0.05,X,0.517000,1000,517,20260329_053149
GraphMamba,3,3,ibm_yonsei,1000,0.005,X,0.496000,1000,496,20260329_053149
GraphMamba,3,3,ibm_yonsei,1000,0.01,X,0.490000,1000,490,20260329_053149
GraphMamba,3,3,ibm_yonsei,1000,0.05,X,0.517000,1000,517,20260329_053149
