Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_miami,1000,0,N/A,N/A,0.466000,1000,466,20260427_154549
MWPM,3,3,ibm_miami,1000,0,N/A,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
CNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.488000,1000,488,20260427_154549
MWPM+CNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
CNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.475000,1000,475,20260427_154549
MWPM+CNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
CNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.474000,1000,474,20260427_154549
MWPM+CNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GCNII,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.533000,1000,533,20260427_154549
MWPM+GCNII,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.479000,1000,479,20260427_154549
GCNII,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534000,1000,534,20260427_154549
MWPM+GCNII,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.479000,1000,479,20260427_154549
GCNII,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534000,1000,534,20260427_154549
MWPM+GCNII,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.479000,1000,479,20260427_154549
APPNP,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.464000,1000,464,20260427_154549
MWPM+APPNP,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
APPNP,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534000,1000,534,20260427_154549
MWPM+APPNP,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.479000,1000,479,20260427_154549
APPNP,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.534000,1000,534,20260427_154549
MWPM+APPNP,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.479000,1000,479,20260427_154549
GraphTransformer,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.462000,1000,462,20260427_154549
MWPM+GraphTransformer,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GraphTransformer,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.467000,1000,467,20260427_154549
MWPM+GraphTransformer,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GraphTransformer,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.463000,1000,463,20260427_154549
MWPM+GraphTransformer,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GCN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.498000,1000,498,20260427_154549
MWPM+GCN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GCN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.506000,1000,506,20260427_154549
MWPM+GCN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.460000,1000,460,20260427_154549
GCN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.466000,1000,466,20260427_154549
MWPM+GCN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GAT,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.473000,1000,473,20260427_154549
MWPM+GAT,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GAT,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.477000,1000,477,20260427_154549
MWPM+GAT,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GAT,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.473000,1000,473,20260427_154549
MWPM+GAT,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.497000,1000,497,20260427_154549
MWPM+GNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.449000,1000,449,20260427_154549
GNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.482000,1000,482,20260427_154549
MWPM+GNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260427_154549
GNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.477000,1000,477,20260427_154549
MWPM+GNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.459000,1000,459,20260427_154549
GraphMamba,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.461000,1000,461,20260427_154549
