Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_yonsei,1000,0,N/A,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.000000,1000,0,20260330_211901
CNN,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.000000,1000,0,20260330_211901
CNN,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,1.000000,1000,1000,20260330_211901
CNN,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,1.000000,1000,1000,20260330_211901
GCN,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.432000,1000,432,20260330_211901
GCN,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,1.000000,1000,1000,20260330_211901
GCN,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.057000,1000,57,20260330_211901
GCNII,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.000000,1000,0,20260330_211901
GCNII,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,1.000000,1000,1000,20260330_211901
GCNII,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,1.000000,1000,1000,20260330_211901
GAT,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.750000,1000,750,20260330_211901
GAT,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.515000,1000,515,20260330_211901
GAT,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.515000,1000,515,20260330_211901
APPNP,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.000000,1000,0,20260330_211901
APPNP,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.508000,1000,508,20260330_211901
APPNP,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.000000,1000,0,20260330_211901
GNN,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.631000,1000,631,20260330_211901
GNN,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.000000,1000,0,20260330_211901
GNN,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.000000,1000,0,20260330_211901
GraphTransformer,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.000000,1000,0,20260330_211901
GraphTransformer,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.127000,1000,127,20260330_211901
GraphTransformer,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.000000,1000,0,20260330_211901
GraphMamba,3,3,ibm_yonsei,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.535000,1000,535,20260330_211901
GraphMamba,3,3,ibm_yonsei,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.535000,1000,535,20260330_211901
GraphMamba,3,3,ibm_yonsei,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.613000,1000,613,20260330_211901
