Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
CNN,3,3,ibm_yonsei,1000,0.005,X,0.000000,1000,0,20260326_012936
CNN,3,3,ibm_yonsei,1000,0.01,X,0.000000,1000,0,20260326_012936
CNN,3,3,ibm_yonsei,1000,0.05,X,1.000000,1000,1000,20260326_012936
GCNII,3,3,ibm_yonsei,1000,0.005,X,1.000000,1000,1000,20260326_012936
GCNII,3,3,ibm_yonsei,1000,0.01,X,1.000000,1000,1000,20260326_012936
GCNII,3,3,ibm_yonsei,1000,0.05,X,1.000000,1000,1000,20260326_012936
APPNP,3,3,ibm_yonsei,1000,0.005,X,1.000000,1000,1000,20260326_012936
APPNP,3,3,ibm_yonsei,1000,0.01,X,1.000000,1000,1000,20260326_012936
APPNP,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260326_012936
GraphTransformer,3,3,ibm_yonsei,1000,0.005,X,0.410000,1000,410,20260326_012936
GraphTransformer,3,3,ibm_yonsei,1000,0.01,X,0.052000,1000,52,20260326_012936
GraphTransformer,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260326_012936
GCN,3,3,ibm_yonsei,1000,0.005,X,0.000000,1000,0,20260326_012936
GCN,3,3,ibm_yonsei,1000,0.01,X,0.180000,1000,180,20260326_012936
GCN,3,3,ibm_yonsei,1000,0.05,X,0.675000,1000,675,20260326_012936
GAT,3,3,ibm_yonsei,1000,0.005,X,0.748000,1000,748,20260326_012936
GAT,3,3,ibm_yonsei,1000,0.01,X,0.611000,1000,611,20260326_012936
GAT,3,3,ibm_yonsei,1000,0.05,X,0.169000,1000,169,20260326_012936
GNN,3,3,ibm_yonsei,1000,0.005,X,0.000000,1000,0,20260326_012936
GNN,3,3,ibm_yonsei,1000,0.01,X,0.617000,1000,617,20260326_012936
GNN,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260326_012936
GraphMamba,3,3,ibm_yonsei,1000,0.005,X,0.200000,1000,200,20260326_012936
GraphMamba,3,3,ibm_yonsei,1000,0.01,X,0.672000,1000,672,20260326_012936
GraphMamba,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260326_012936
