Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
GraphTransformer,3,3,ibm_yonsei,1000,0.005,X,0.474000,1000,474,20260326_140330
GraphTransformer,3,3,ibm_yonsei,1000,0.01,X,0.459000,1000,459,20260326_140330
GraphTransformer,3,3,ibm_yonsei,1000,0.05,X,0.452000,1000,452,20260326_140330
GraphMamba,3,3,ibm_yonsei,1000,0.005,X,0.471000,1000,471,20260326_140330
GraphMamba,3,3,ibm_yonsei,1000,0.01,X,0.463000,1000,463,20260326_140330
GraphMamba,3,3,ibm_yonsei,1000,0.05,X,0.450000,1000,450,20260326_140330
GCN,3,3,ibm_yonsei,1000,0.005,X,0.456000,1000,456,20260326_140330
GCN,3,3,ibm_yonsei,1000,0.01,X,0.506000,1000,506,20260326_140330
GCN,3,3,ibm_yonsei,1000,0.05,X,0.536000,1000,536,20260326_140330
GAT,3,3,ibm_yonsei,1000,0.005,X,0.493000,1000,493,20260326_140330
GAT,3,3,ibm_yonsei,1000,0.01,X,0.501000,1000,501,20260326_140330
GAT,3,3,ibm_yonsei,1000,0.05,X,0.497000,1000,497,20260326_140330
GNN,3,3,ibm_yonsei,1000,0.005,X,0.452000,1000,452,20260326_140330
GNN,3,3,ibm_yonsei,1000,0.01,X,0.451000,1000,451,20260326_140330
GNN,3,3,ibm_yonsei,1000,0.05,X,0.452000,1000,452,20260326_140330
