Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
CNN,3,3,ibm_yonsei,1000,0.005,X,0.000000,1000,0,20260325_095434
CNN,3,3,ibm_yonsei,1000,0.01,X,1.000000,1000,1000,20260325_095434
CNN,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260325_095434
GCNII,3,3,ibm_yonsei,1000,0.005,X,1.000000,1000,1000,20260325_095434
GCNII,3,3,ibm_yonsei,1000,0.01,X,0.000000,1000,0,20260325_095434
GCNII,3,3,ibm_yonsei,1000,0.05,X,1.000000,1000,1000,20260325_095434
APPNP,3,3,ibm_yonsei,1000,0.005,X,0.867000,1000,867,20260325_095434
APPNP,3,3,ibm_yonsei,1000,0.01,X,1.000000,1000,1000,20260325_095434
APPNP,3,3,ibm_yonsei,1000,0.05,X,1.000000,1000,1000,20260325_095434
GCN,3,3,ibm_yonsei,1000,0.005,X,0.000000,1000,0,20260325_095434
GCN,3,3,ibm_yonsei,1000,0.01,X,1.000000,1000,1000,20260325_095434
GCN,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260325_095434
GAT,3,3,ibm_yonsei,1000,0.005,X,0.510000,1000,510,20260325_095434
GAT,3,3,ibm_yonsei,1000,0.01,X,0.000000,1000,0,20260325_095434
GAT,3,3,ibm_yonsei,1000,0.05,X,1.000000,1000,1000,20260325_095434
GNN,3,3,ibm_yonsei,1000,0.005,X,1.000000,1000,1000,20260325_095434
GNN,3,3,ibm_yonsei,1000,0.01,X,1.000000,1000,1000,20260325_095434
GNN,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260325_095434
GraphMamba,3,3,ibm_yonsei,1000,0.005,X,0.000000,1000,0,20260325_095434
GraphMamba,3,3,ibm_yonsei,1000,0.01,X,1.000000,1000,1000,20260325_095434
GraphMamba,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260325_095434
