Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
CNN,3,3,ibm_yonsei,1000,0.005,X,0.000000,1000,0,20260326_040217
CNN,3,3,ibm_yonsei,1000,0.01,X,0.000000,1000,0,20260326_040217
CNN,3,3,ibm_yonsei,1000,0.05,X,1.000000,1000,1000,20260326_040217
GCNII,3,3,ibm_yonsei,1000,0.005,X,1.000000,1000,1000,20260326_040217
GCNII,3,3,ibm_yonsei,1000,0.01,X,1.000000,1000,1000,20260326_040217
GCNII,3,3,ibm_yonsei,1000,0.05,X,1.000000,1000,1000,20260326_040217
APPNP,3,3,ibm_yonsei,1000,0.005,X,1.000000,1000,1000,20260326_040217
APPNP,3,3,ibm_yonsei,1000,0.01,X,1.000000,1000,1000,20260326_040217
APPNP,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260326_040217
GraphTransformer,3,3,ibm_yonsei,1000,0.005,X,0.451000,1000,451,20260326_040217
GraphTransformer,3,3,ibm_yonsei,1000,0.01,X,0.062000,1000,62,20260326_040217
GraphTransformer,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260326_040217
GCN,3,3,ibm_yonsei,1000,0.005,X,0.000000,1000,0,20260326_040217
GCN,3,3,ibm_yonsei,1000,0.01,X,0.182000,1000,182,20260326_040217
GCN,3,3,ibm_yonsei,1000,0.05,X,0.690000,1000,690,20260326_040217
GAT,3,3,ibm_yonsei,1000,0.005,X,0.742000,1000,742,20260326_040217
GAT,3,3,ibm_yonsei,1000,0.01,X,0.613000,1000,613,20260326_040217
GAT,3,3,ibm_yonsei,1000,0.05,X,0.167000,1000,167,20260326_040217
GNN,3,3,ibm_yonsei,1000,0.005,X,0.000000,1000,0,20260326_040217
GNN,3,3,ibm_yonsei,1000,0.01,X,0.646000,1000,646,20260326_040217
GNN,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260326_040217
GraphMamba,3,3,ibm_yonsei,1000,0.005,X,0.171000,1000,171,20260326_040217
GraphMamba,3,3,ibm_yonsei,1000,0.01,X,0.684000,1000,684,20260326_040217
GraphMamba,3,3,ibm_yonsei,1000,0.05,X,0.000000,1000,0,20260326_040217
