Model,Distance,Num_Rounds,Backend,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,3,3,ibm_miami,1000,0,N/A,N/A,0.483000,1000,483,20260428_214354
MWPM,3,3,ibm_miami,1000,0,N/A,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
CNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.479000,1000,479,20260428_214354
MWPM+CNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
CNN+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.459000,1000,459,20260428_214354
CNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.486000,1000,486,20260428_214354
MWPM+CNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
CNN+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.451000,1000,451,20260428_214354
CNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.483000,1000,483,20260428_214354
MWPM+CNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
CNN+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.445000,1000,445,20260428_214354
GCNII,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.516000,1000,516,20260428_214354
MWPM+GCNII,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.507000,1000,507,20260428_214354
GCNII+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.525000,1000,525,20260428_214354
GCNII,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.517000,1000,517,20260428_214354
MWPM+GCNII,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.507000,1000,507,20260428_214354
GCNII+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.554000,1000,554,20260428_214354
GCNII,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.517000,1000,517,20260428_214354
MWPM+GCNII,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.507000,1000,507,20260428_214354
GCNII+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.491000,1000,491,20260428_214354
APPNP,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.490000,1000,490,20260428_214354
MWPM+APPNP,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
APPNP+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.453000,1000,453,20260428_214354
APPNP,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.517000,1000,517,20260428_214354
MWPM+APPNP,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.507000,1000,507,20260428_214354
APPNP+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.475000,1000,475,20260428_214354
APPNP,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.517000,1000,517,20260428_214354
MWPM+APPNP,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.507000,1000,507,20260428_214354
APPNP+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.495000,1000,495,20260428_214354
GraphTransformer,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.475000,1000,475,20260428_214354
MWPM+GraphTransformer,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
GraphTransformer+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.449000,1000,449,20260428_214354
GraphTransformer,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.472000,1000,472,20260428_214354
MWPM+GraphTransformer,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
GraphTransformer+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.451000,1000,451,20260428_214354
GraphTransformer,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.474000,1000,474,20260428_214354
MWPM+GraphTransformer,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
GraphTransformer+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.450000,1000,450,20260428_214354
GCN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.485000,1000,485,20260428_214354
MWPM+GCN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
GCN+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.470000,1000,470,20260428_214354
GCN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.508000,1000,508,20260428_214354
MWPM+GCN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.466000,1000,466,20260428_214354
GCN+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.503000,1000,503,20260428_214354
GCN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.483000,1000,483,20260428_214354
MWPM+GCN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
GCN+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.495000,1000,495,20260428_214354
GAT,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.474000,1000,474,20260428_214354
MWPM+GAT,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
GAT+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.452000,1000,452,20260428_214354
GAT,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.481000,1000,481,20260428_214354
MWPM+GAT,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
GAT+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.456000,1000,456,20260428_214354
GAT,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.479000,1000,479,20260428_214354
MWPM+GAT,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
GAT+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.465000,1000,465,20260428_214354
GNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.479000,1000,479,20260428_214354
MWPM+GNN,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.446000,1000,446,20260428_214354
GNN+MWPM,3,3,ibm_miami,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.481000,1000,481,20260428_214354
GNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.506000,1000,506,20260428_214354
MWPM+GNN,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.448000,1000,448,20260428_214354
GNN+MWPM,3,3,ibm_miami,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.523000,1000,523,20260428_214354
GNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.481000,1000,481,20260428_214354
MWPM+GNN,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.453000,1000,453,20260428_214354
GNN+MWPM,3,3,ibm_miami,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.502000,1000,502,20260428_214354
