code,d,noise,p,model,frac_ones,LER,NC,1-NC,mode,ECR
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,APPNP,0.8571,0.1354,0.1354,0.8646,mixed,85.87
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCNII,0.4286,0.1354,0.1354,0.8646,mixed,42.6
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,APPNP,0.7143,0.9852,0.0148,0.9852,mixed,70.12
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCNII,0.2857,0.9852,0.0148,0.9852,mixed,27.91
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,APPNP,0.7143,0.0295,0.0295,0.9705,mixed,72.54
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCNII,0.2857,0.9705,0.0295,0.9705,mixed,21.64
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,APPNP,0.2857,0.8656,0.1344,0.8656,mixed,23.49
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCNII,0.2402,0.8656,0.1344,0.8656,mixed,28.03
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,APPNP,0.3275,0.9745,0.0255,0.9745,mixed,48.48
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCNII,0.6842,0.9745,0.0255,0.9745,mixed,73.4
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,APPNP,0.368,0.9508,0.0492,0.9508,mixed,61.05
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCNII,0.3684,0.9508,0.0492,0.9508,mixed,63.18
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,APPNP,0.4303,0.3856,0.2073,0.7927,mixed,51.87
color_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCNII,0.3684,0.7927,0.2073,0.7927,mixed,57.66
color_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,APPNP,0.4255,0.0242,0.0242,0.9758,mixed,63.72
color_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCNII,0.6316,0.9758,0.0242,0.9758,mixed,62.81
color_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,APPNP,0.6712,0.2799,0.0478,0.9522,mixed,68.53
color_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GCNII,0.4211,0.0478,0.0478,0.9522,mixed,54.24
color_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,APPNP,0.4636,0.5966,0.2046,0.7954,mixed,44.22
color_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCNII,0.3684,0.2046,0.2046,0.7954,mixed,36.84
color_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,APPNP,0.5284,0.0272,0.025,0.975,mixed,47.41
color_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCNII,0.5263,0.975,0.025,0.975,mixed,52.68
color_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,APPNP,0.2895,0.504,0.0479,0.9521,mixed,47.46
color_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCNII,0.4211,0.9521,0.0479,0.9521,mixed,42.19
color_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,APPNP,0.3448,0.7955,0.2045,0.7955,mixed,17.94
color_code,5,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCNII,0.3684,0.7955,0.2045,0.7955,mixed,36.85
heavyhex_surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,APPNP,0.5764,0.0255,0.015,0.985,mixed,67.76
heavyhex_surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCNII,0.4531,0.8613,0.015,0.985,mixed,48.92
heavyhex_surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,APPNP,0.5556,0.0303,0.0303,0.9697,mixed,56.03
heavyhex_surface_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCNII,0.7925,0.0303,0.0303,0.9697,mixed,79.55
