code,distance,noise_profile,error_rate,model,sim_LER,n_shots
surface_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GraphMamba,0.152400,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,NoCorrection,0.015400,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,MWPM,0.248860,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,MWPM_mv,0.203130,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,CNN,0.200680,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCN,0.778180,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCNII,0.984600,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GAT,0.189990,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,APPNP,0.478340,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GNN,0.383390,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GraphTransformer,0.015400,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GraphMamba,0.023890,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,NoCorrection,0.029560,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,MWPM,0.251760,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,MWPM_mv,0.205380,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,CNN,0.199710,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCN,0.541700,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCNII,0.029560,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GAT,0.292460,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,APPNP,0.966570,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GNN,0.054190,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GraphTransformer,0.036990,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GraphMamba,0.049700,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,NoCorrection,0.135240,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,MWPM,0.292150,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,MWPM_mv,0.245380,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,CNN,0.286220,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCN,0.235590,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GCNII,0.140670,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GAT,0.228350,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,APPNP,0.135240,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GNN,0.148310,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GraphTransformer,0.162530,100000
surface_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,GraphMamba,0.166160,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,NoCorrection,0.024300,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,MWPM,0.289010,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,MWPM_mv,0.211420,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,CNN,0.080800,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCN,0.083410,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GCNII,0.975700,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GAT,0.081870,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,APPNP,0.024300,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GNN,0.037680,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GraphTransformer,0.038750,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.005,GraphMamba,0.060940,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,NoCorrection,0.048850,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,MWPM,0.291620,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,MWPM_mv,0.213490,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,CNN,0.100650,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCN,0.854710,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GCNII,0.951150,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GAT,0.115420,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,APPNP,0.048850,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GNN,0.061440,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GraphTransformer,0.063260,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GraphMamba,0.067030,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,NoCorrection,0.204730,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,MWPM,0.331230,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,MWPM_mv,0.248100,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,CNN,0.250200,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCN,0.757330,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCNII,0.204730,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GAT,0.239360,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,APPNP,0.204730,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GNN,0.285820,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GraphTransformer,0.199930,100000
surface_code,5,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GraphMamba,0.203850,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,NoCorrection,0.025090,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,MWPM,0.348990,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,MWPM_mv,0.308860,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,CNN,0.133630,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCN,0.274680,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCNII,0.025090,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GAT,0.190800,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,APPNP,0.864200,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GNN,0.161540,100000
surface_code,5,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GraphTransformer,0.035160,100000
