Model,Distance,Num_Rounds,Noise_Model,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
CNN,3,3,forte-1,1000,0.005,X,0.254000,1000,254,20260328_063202
CNN,3,3,forte-1,1000,0.01,X,0.825000,1000,825,20260328_063202
CNN,3,3,forte-1,1000,0.05,X,0.825000,1000,825,20260328_063202
GCNII,3,3,forte-1,1000,0.005,X,0.175000,1000,175,20260328_063202
GCNII,3,3,forte-1,1000,0.01,X,0.175000,1000,175,20260328_063202
GCNII,3,3,forte-1,1000,0.05,X,0.175000,1000,175,20260328_063202
APPNP,3,3,forte-1,1000,0.005,X,0.175000,1000,175,20260328_063202
APPNP,3,3,forte-1,1000,0.01,X,0.175000,1000,175,20260328_063202
APPNP,3,3,forte-1,1000,0.05,X,0.825000,1000,825,20260328_063202
GraphTransformer,3,3,forte-1,1000,0.005,X,0.202000,1000,202,20260328_063202
GraphTransformer,3,3,forte-1,1000,0.01,X,0.204000,1000,204,20260328_063202
GraphTransformer,3,3,forte-1,1000,0.05,X,0.198000,1000,198,20260328_063202
GCN,3,3,forte-1,1000,0.005,X,0.215000,1000,215,20260328_063202
GCN,3,3,forte-1,1000,0.01,X,0.275000,1000,275,20260328_063202
GCN,3,3,forte-1,1000,0.05,X,0.792000,1000,792,20260328_063202
GAT,3,3,forte-1,1000,0.005,X,0.231000,1000,231,20260328_063202
GAT,3,3,forte-1,1000,0.01,X,0.242000,1000,242,20260328_063202
GAT,3,3,forte-1,1000,0.05,X,0.210000,1000,210,20260328_063202
GNN,3,3,forte-1,1000,0.005,X,0.234000,1000,234,20260328_063202
GNN,3,3,forte-1,1000,0.01,X,0.262000,1000,262,20260328_063202
GNN,3,3,forte-1,1000,0.05,X,0.277000,1000,277,20260328_063202
GraphMamba,3,3,forte-1,1000,0.005,X,0.219000,1000,219,20260328_063202
GraphMamba,3,3,forte-1,1000,0.01,X,0.217000,1000,217,20260328_063202
GraphMamba,3,3,forte-1,1000,0.05,X,0.216000,1000,216,20260328_063202
