Model,Distance,Num_Rounds,Noise_Model,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
GraphMamba,3,3,forte-1,1000,0.005,X,0.195000,1000,195,20260320_051033
GraphMamba,3,3,forte-1,1000,0.01,X,0.190000,1000,190,20260320_051033
GraphMamba,3,3,forte-1,1000,0.05,X,0.185000,1000,185,20260320_051033
GraphTransformer,3,3,forte-1,1000,0.005,X,0.187000,1000,187,20260320_051033
GraphTransformer,3,3,forte-1,1000,0.01,X,0.190000,1000,190,20260320_051033
GraphTransformer,3,3,forte-1,1000,0.05,X,0.182000,1000,182,20260320_051033
