Model,Distance,Num_Rounds,Noise_Model,Shots,Stim_Error_Rate,Stim_Error_Type,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
CNN,3,3,forte-1,1000,0.005,X,0.246000,1000,246,20260329_053042
CNN,3,3,forte-1,1000,0.01,X,0.827000,1000,827,20260329_053042
CNN,3,3,forte-1,1000,0.05,X,0.827000,1000,827,20260329_053042
GCNII,3,3,forte-1,1000,0.005,X,0.173000,1000,173,20260329_053042
GCNII,3,3,forte-1,1000,0.01,X,0.173000,1000,173,20260329_053042
GCNII,3,3,forte-1,1000,0.05,X,0.173000,1000,173,20260329_053042
APPNP,3,3,forte-1,1000,0.005,X,0.173000,1000,173,20260329_053042
APPNP,3,3,forte-1,1000,0.01,X,0.173000,1000,173,20260329_053042
APPNP,3,3,forte-1,1000,0.05,X,0.827000,1000,827,20260329_053042
GraphTransformer,3,3,forte-1,1000,0.005,X,0.201000,1000,201,20260329_053042
GraphTransformer,3,3,forte-1,1000,0.01,X,0.198000,1000,198,20260329_053042
GraphTransformer,3,3,forte-1,1000,0.05,X,0.198000,1000,198,20260329_053042
GCN,3,3,forte-1,1000,0.005,X,0.216000,1000,216,20260329_053042
GCN,3,3,forte-1,1000,0.01,X,0.276000,1000,276,20260329_053042
GCN,3,3,forte-1,1000,0.05,X,0.785000,1000,785,20260329_053042
GAT,3,3,forte-1,1000,0.005,X,0.238000,1000,238,20260329_053042
GAT,3,3,forte-1,1000,0.01,X,0.233000,1000,233,20260329_053042
GAT,3,3,forte-1,1000,0.05,X,0.219000,1000,219,20260329_053042
GNN,3,3,forte-1,1000,0.005,X,0.242000,1000,242,20260329_053042
GNN,3,3,forte-1,1000,0.01,X,0.290000,1000,290,20260329_053042
GNN,3,3,forte-1,1000,0.05,X,0.247000,1000,247,20260329_053042
GraphMamba,3,3,forte-1,1000,0.005,X,0.216000,1000,216,20260329_053042
GraphMamba,3,3,forte-1,1000,0.01,X,0.214000,1000,214,20260329_053042
GraphMamba,3,3,forte-1,1000,0.05,X,0.211000,1000,211,20260329_053042
