Model,Distance,Num_Rounds,Noise_Model,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
No_Correction,5,5,forte-1,1000,0,N/A,N/A,0.156000,1000,156,20260424_021357
MWPM_Restriction,5,5,forte-1,1000,0,N/A,N/A,0.095000,1000,95,20260424_021357
GraphTransformer,5,5,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.152000,1000,152,20260424_021357
MWPM+GraphTransformer,5,5,forte-1,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.094000,1000,94,20260424_021357
GraphTransformer,5,5,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.155000,1000,155,20260424_021357
MWPM+GraphTransformer,5,5,forte-1,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.095000,1000,95,20260424_021357
GraphTransformer,5,5,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.160000,1000,160,20260424_021357
MWPM+GraphTransformer,5,5,forte-1,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.098000,1000,98,20260424_021357
GraphTransformer,5,5,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.156000,1000,156,20260424_021357
MWPM+GraphTransformer,5,5,forte-1,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.095000,1000,95,20260424_021357
GraphTransformer,5,5,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.150000,1000,150,20260424_021357
MWPM+GraphTransformer,5,5,forte-1,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.092000,1000,92,20260424_021357
GraphTransformer,5,5,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.156000,1000,156,20260424_021357
MWPM+GraphTransformer,5,5,forte-1,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.095000,1000,95,20260424_021357
GraphTransformer,5,5,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.153000,1000,153,20260424_021357
MWPM+GraphTransformer,5,5,forte-1,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.096000,1000,96,20260424_021357
GraphTransformer,5,5,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.156000,1000,156,20260424_021357
MWPM+GraphTransformer,5,5,forte-1,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.095000,1000,95,20260424_021357
GraphTransformer,5,5,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.156000,1000,156,20260424_021357
MWPM+GraphTransformer,5,5,forte-1,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.095000,1000,95,20260424_021357
