Model,Distance,Error_Rate(p),Error_Type,Noise,Best_ECR(%),Accuracy(%),Inference_Time(ms),Epochs,Learning_Rate,Train_Loss,Val_Loss
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.26,74.93,0.0003,5,0.001,1.069042,1.040922
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.88,74.64,0.0003,6,0.001,1.067171,1.039875
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.65,71.70,0.0003,7,0.001,1.066185,1.039715
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.50,72.19,0.0003,8,0.001,1.065332,1.039105
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,74.62,71.01,0.0003,9,0.001,1.064671,1.041165
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.18,73.11,0.0003,10,0.001,1.064093,1.038515
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.97,72.41,0.0003,11,0.001,1.062975,1.039832
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,69.38,75.99,0.0003,12,0.001,1.062537,1.038753
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.44,71.97,0.0003,13,0.001,1.061782,1.037207
GAT,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.62,71.85,0.0003,14,0.001,1.061285,1.036058
GAT,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,74.72,69.07,0.0003,1,0.001,1.126759,1.083774
GAT,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.64,72.15,0.0003,2,0.001,1.086561,1.067331
GAT,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,71.01,73.87,0.0003,3,0.001,1.078361,1.062638
GAT,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.58,74.08,0.0003,4,0.001,1.072743,1.059887
GAT,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,69.27,75.22,0.0003,5,0.001,1.069405,1.055778
GAT,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.23,71.65,0.0003,6,0.001,1.068125,1.055437
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,62.32,70.49,0.0003,1,0.001,1.150916,1.126022
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.69,69.13,0.0003,2,0.001,1.124687,1.120596
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.36,69.65,0.0003,3,0.001,1.120979,1.117002
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.16,66.21,0.0003,4,0.001,1.119088,1.116468
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.66,69.36,0.0003,5,0.001,1.118414,1.116041
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,65.78,67.41,0.0003,6,0.001,1.117971,1.115782
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.91,65.68,0.0003,7,0.001,1.117735,1.115763
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.57,68.42,0.0003,8,0.001,1.117449,1.115537
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.75,68.25,0.0003,9,0.001,1.117292,1.115815
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.12,69.07,0.0003,10,0.001,1.117158,1.115247
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,62.78,69.99,0.0003,11,0.001,1.116930,1.115510
GAT,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,66.22,67.07,0.0003,12,0.001,1.116780,1.115456
GCN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.74,74.40,0.0003,1,0.001,1.122668,1.055312
GCN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,78.00,67.56,0.0003,2,0.001,1.062402,1.043234
GCN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,76.91,68.70,0.0003,3,0.001,1.051903,1.022900
GCN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,76.88,68.93,0.0003,4,0.001,1.044683,1.027420
GCN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,76.74,69.30,0.0003,5,0.001,1.041546,1.021238
GCN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.53,70.83,0.0003,6,0.001,1.039437,1.019737
GCN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.29,75.49,0.0003,7,0.001,1.038249,1.019109
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.73,67.53,0.0003,1,0.001,1.182234,1.079715
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,74.35,69.93,0.0003,2,0.001,1.076639,1.059107
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.29,68.31,0.0003,3,0.001,1.063505,1.054791
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.85,72.09,0.0003,4,0.001,1.055897,1.042568
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,71.88,72.80,0.0003,5,0.001,1.051998,1.042549
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,77.97,66.32,0.0003,6,0.001,1.049537,1.045077
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,74.18,71.03,0.0003,7,0.001,1.047567,1.037439
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,76.86,67.81,0.0003,8,0.001,1.045902,1.040515
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.09,70.23,0.0003,9,0.001,1.044848,1.035098
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,77.89,66.75,0.0003,10,0.001,1.043759,1.041018
GCN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,74.48,70.67,0.0003,11,0.001,1.042783,1.035645
GCN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,65.39,66.30,0.0003,1,0.001,1.236439,1.144077
GCN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.34,62.70,0.0003,2,0.001,1.134822,1.126910
GCN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,59.77,72.37,0.0003,3,0.001,1.122370,1.123113
GCN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,66.23,67.07,0.0003,4,0.001,1.115703,1.114317
GCN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,66.08,67.42,0.0003,5,0.001,1.111328,1.108145
GCN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.81,65.83,0.0003,6,0.001,1.108624,1.107165
GCN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,65.43,68.38,0.0003,7,0.001,1.106954,1.105026
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,52.54,57.14,0.0003,1,0.001,14.951330,1.380739
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,55.78,60.16,0.0003,2,0.001,1.353497,1.343657
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,60.52,58.93,0.0003,3,0.001,1.330794,1.323749
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.27,54.94,0.0003,4,0.001,1.316987,1.309058
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,61.32,61.52,0.0003,5,0.001,1.302376,1.301228
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,68.39,56.92,0.0003,6,0.001,1.292281,1.286382
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.01,58.90,0.0003,7,0.001,1.282640,1.278883
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,71.55,55.80,0.0003,8,0.001,1.273466,1.271244
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,71.35,56.00,0.0003,9,0.001,1.269687,1.267173
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,69.78,59.20,0.0003,10,0.001,1.262509,1.257785
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,74.08,56.05,0.0003,11,0.001,1.257837,1.253074
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,68.88,60.17,0.0003,12,0.001,1.254970,1.258871
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.54,57.72,0.0003,13,0.001,1.251404,1.247133
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,71.56,58.98,0.0003,14,0.001,1.246153,1.248544
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,77.73,49.08,0.0003,15,0.001,1.245353,1.279186
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.59,58.76,0.0003,16,0.001,1.244016,1.238580
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,69.21,63.24,0.0003,17,0.001,1.238351,1.237917
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.27,59.79,0.0003,18,0.001,1.235922,1.228670
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.77,57.76,0.0002,19,0.001,1.232854,1.243102
GCN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.74,62.33,0.0002,20,0.001,1.231114,1.231800
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,50.90,60.00,0.0002,1,0.001,6.214919,1.349201
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,57.97,57.61,0.0002,2,0.001,1.349020,1.332459
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,50.36,65.80,0.0002,3,0.001,1.328385,1.316532
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.49,58.45,0.0002,4,0.001,1.313839,1.287512
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.49,58.52,0.0002,5,0.001,1.295722,1.286035
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,60.64,61.76,0.0002,6,0.001,1.282520,1.276675
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,69.50,54.56,0.0002,7,0.001,1.271686,1.277062
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.43,52.56,0.0002,8,0.001,1.271779,1.267302
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,66.24,50.39,0.0002,9,0.001,1.303851,1.302410
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,61.81,53.63,0.0002,10,0.001,1.308485,1.311540
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,68.09,52.82,0.0002,11,0.001,1.307328,1.289284
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,48.78,51.30,0.0002,12,0.001,1.332374,1.364266
GCN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,53.87,46.02,0.0002,13,0.001,1.372310,1.363853
GCN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.63,45.60,0.0002,1,0.001,29.207913,1.446932
GCN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,65.01,48.93,0.0002,2,0.001,1.344269,1.314530
GCN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,60.58,55.27,0.0002,3,0.001,1.287441,1.283365
GCN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,60.92,57.10,0.0002,4,0.001,1.269102,1.267205
GCN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,61.03,58.48,0.0002,5,0.001,1.260805,1.259182
GCN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,62.77,57.60,0.0002,6,0.001,1.255661,1.254762
GCN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,62.29,58.79,0.0002,7,0.001,1.251556,1.250880
GCNII,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,27.91,71.21,0.0025,1,0.001,nan,585297825.959184
GCNII,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,27.91,71.21,0.0025,2,0.001,nan,585297825.959184
GCNII,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,27.91,71.21,0.0024,3,0.001,nan,585297825.959184
GCNII,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,27.91,71.21,0.0025,4,0.001,nan,585297825.959184
GCNII,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,27.91,71.21,0.0025,5,0.001,nan,585297825.959184
GCNII,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,27.91,71.21,0.0025,6,0.001,nan,585297825.959184
GCNII,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,21.64,78.82,0.0016,1,0.001,nan,96824761.632653
GCNII,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,21.64,78.82,0.0025,2,0.001,nan,96824761.632653
GCNII,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,21.64,78.82,0.0025,3,0.001,nan,96824761.632653
GCNII,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,21.64,78.82,0.0026,4,0.001,nan,96824761.632653
GCNII,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,21.64,78.82,0.0025,5,0.001,nan,96824761.632653
GCNII,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,21.64,78.82,0.0025,6,0.001,nan,96824761.632653
GCNII,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,28.03,69.30,0.0025,1,0.001,nan,43185986.775510
GCNII,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,28.03,69.30,0.0025,2,0.001,nan,43185986.775510
GCNII,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,28.03,69.30,0.0015,3,0.001,nan,43185986.775510
GCNII,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,28.03,69.30,0.0015,4,0.001,nan,43185986.775510
GCNII,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,28.03,69.30,0.0015,5,0.001,nan,43185986.775510
GCNII,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,28.03,69.30,0.0025,6,0.001,nan,43185986.775510
GCNII,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.95,35.29,0.0012,1,0.001,nan,911275747453.387695
GCNII,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.95,35.29,0.0012,2,0.001,nan,911275747453.387695
GCNII,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.95,35.29,0.0012,3,0.001,nan,911275747453.387695
GCNII,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.95,35.29,0.0012,4,0.001,nan,911275747453.387695
GCNII,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.95,35.29,0.0012,5,0.001,nan,911275747453.387695
GCNII,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.95,35.29,0.0012,6,0.001,nan,911275747453.387695
GCNII,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,48.83,51.25,0.0012,1,0.001,nan,1422515331907.918457
GCNII,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,48.83,51.25,0.0012,2,0.001,nan,1422515331907.918457
GCNII,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,48.83,51.25,0.0012,3,0.001,nan,1422515331907.918457
GCNII,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,48.83,51.25,0.0012,4,0.001,nan,1422515331907.918457
GCNII,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,48.83,51.25,0.0012,5,0.001,nan,1422515331907.918457
GCNII,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,48.83,51.25,0.0012,6,0.001,nan,1422515331907.918457
GCNII,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.16,31.82,0.0012,1,0.001,nan,467797718078.693848
GCNII,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.16,31.82,0.0012,2,0.001,nan,467797718078.693848
GCNII,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.16,31.82,0.0012,3,0.001,nan,467797718078.693848
GCNII,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.16,31.82,0.0012,4,0.001,nan,467797718078.693848
GCNII,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.16,31.82,0.0012,5,0.001,nan,467797718078.693848
GCNII,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.16,31.82,0.0012,6,0.001,nan,467797718078.693848
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.09,56.09,0.0004,1,0.001,1.281825,1.249398
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.62,59.59,0.0004,2,0.001,1.226340,1.171939
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,76.76,59.60,0.0004,3,0.001,1.195505,1.162781
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.94,63.33,0.0004,4,0.001,1.188845,1.155032
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,74.21,62.17,0.0004,5,0.001,1.183947,1.158819
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.85,62.76,0.0004,6,0.001,1.181079,1.153038
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,76.59,60.11,0.0004,7,0.001,1.179239,1.152408
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,78.24,58.66,0.0004,8,0.001,1.177946,1.153418
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.74,60.98,0.0004,9,0.001,1.176775,1.152277
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.35,61.67,0.0004,10,0.001,1.175661,1.149317
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,73.53,63.28,0.0004,11,0.001,1.174522,1.148163
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.35,61.62,0.0004,12,0.001,1.173148,1.148476
GNN,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,71.06,65.17,0.0004,13,0.001,1.171782,1.157569
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.12,57.99,0.0004,1,0.001,1.269376,1.211330
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,74.03,59.59,0.0004,2,0.001,1.200249,1.196466
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,76.22,58.57,0.0004,3,0.001,1.188890,1.187046
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,76.23,59.26,0.0004,4,0.001,1.184681,1.178631
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.36,59.88,0.0004,5,0.001,1.182145,1.178146
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,76.24,59.37,0.0003,6,0.001,1.180137,1.175509
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.15,63.11,0.0004,7,0.001,1.178816,1.174060
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,77.33,58.00,0.0004,8,0.001,1.177081,1.174859
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.60,60.55,0.0004,9,0.001,1.174511,1.168276
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.10,61.94,0.0004,10,0.001,1.164094,1.152709
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.48,65.27,0.0004,11,0.001,1.154532,1.142708
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,71.95,65.93,0.0004,12,0.001,1.147579,1.142019
GNN,3,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.89,65.51,0.0004,13,0.001,1.141342,1.129447
GNN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.14,55.48,0.0004,1,0.001,1.229432,1.204223
GNN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,72.79,55.20,0.0004,2,0.001,1.200168,1.193608
GNN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,75.89,52.58,0.0004,3,0.001,1.196145,1.190733
GNN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.48,61.00,0.0004,4,0.001,1.190370,1.181276
GNN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,69.35,60.22,0.0003,5,0.001,1.173213,1.171295
GNN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.89,62.24,0.0004,6,0.001,1.165243,1.160391
GNN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.07,61.28,0.0004,7,0.001,1.158354,1.153715
GNN,3,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.31,63.89,0.0004,8,0.001,1.151924,1.150659
GNN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,70.15,29.93,0.0003,1,0.001,1.383259,1.382747
GNN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.53,35.28,0.0003,2,0.001,1.383042,1.382808
GNN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,53.65,45.98,0.0003,3,0.001,1.382953,1.382810
GNN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,61.83,37.96,0.0003,4,0.001,1.383014,1.382782
GNN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.33,35.28,0.0003,5,0.001,1.383093,1.382770
GNN,7,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.04,32.60,0.0003,6,0.001,1.382968,1.382757
GNN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,53.87,62.19,0.0003,1,0.001,1.350476,1.321153
GNN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,60.56,57.43,0.0003,2,0.001,1.322048,1.312172
GNN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,69.95,49.72,0.0003,3,0.001,1.315843,1.307063
GNN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,60.49,59.66,0.0003,4,0.001,1.308901,1.301044
GNN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.02,54.06,0.0003,5,0.001,1.304435,1.297202
GNN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,65.84,56.10,0.0003,6,0.001,1.300643,1.292025
GNN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,68.32,56.81,0.0003,7,0.001,1.289467,1.273446
GNN,7,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,59.13,66.09,0.0003,8,0.001,1.270216,1.265979
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.83,49.82,0.0003,1,0.001,1.306094,1.290412
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.78,51.99,0.0003,2,0.001,1.284968,1.282833
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.07,52.98,0.0003,3,0.001,1.280797,1.280612
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,63.75,52.57,0.0003,4,0.001,1.279455,1.279673
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,62.77,53.46,0.0003,5,0.001,1.278486,1.279655
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,65.18,51.72,0.0003,6,0.001,1.277564,1.277567
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,62.59,56.23,0.0003,7,0.001,1.271093,1.264141
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,64.54,55.84,0.0003,8,0.001,1.258273,1.257100
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,65.82,55.20,0.0003,9,0.001,1.254592,1.254518
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,66.68,54.55,0.0003,10,0.001,1.252832,1.253654
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.70,53.92,0.0003,11,0.001,1.251881,1.252574
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,68.55,53.36,0.0003,12,0.001,1.250871,1.251240
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.70,54.32,0.0003,13,0.001,1.250457,1.250934
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.97,54.06,0.0003,14,0.001,1.249957,1.250213
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,68.14,53.88,0.0003,15,0.001,1.249346,1.250395
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,69.61,52.80,0.0003,16,0.001,1.248852,1.250294
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,68.61,53.55,0.0003,17,0.001,1.248387,1.249425
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,67.57,54.66,0.0003,18,0.001,1.248041,1.248887
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,69.05,53.43,0.0003,19,0.001,1.247649,1.249266
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,65.73,56.13,0.0003,20,0.001,1.247341,1.249947
GNN,7,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,65.21,56.65,0.0003,21,0.001,1.246784,1.249498
GraphTransformer,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.88,99.43,0.0025,1,0.0001,0.209125,0.200855
GraphTransformer,3,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.00,99.51,0.0025,2,0.0001,0.206200,0.200527
