code,noise,Distance,Error_Rate(p),Error_Type,model,Best_ECR(%),Accuracy(%),Inference_Time(ms),Epochs,Learning_Rate,Train_Loss,Val_Loss
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,48.48,51.63,0.0004,4,0.001,,871980472.163265
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,48.48,51.63,0.0004,5,0.001,,871980472.163265
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,48.48,51.63,0.0004,6,0.001,,871980472.163265
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,61.05,39.32,0.0004,1,0.001,,1193979436.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,61.05,39.32,0.0004,2,0.001,,1193979436.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,61.05,39.32,0.0004,3,0.001,,1193979436.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,61.05,39.32,0.0004,4,0.001,,1193979436.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,61.05,39.32,0.0004,5,0.001,,1193979436.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,61.05,39.32,0.0004,6,0.001,,1193979436.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,51.87,48.13,0.0004,1,0.001,,974768591.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,51.87,48.13,0.0004,2,0.001,,974768591.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,51.87,48.13,0.0004,3,0.001,,974768591.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,51.87,48.13,0.0004,4,0.001,,974768591.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,51.87,48.13,0.0004,5,0.001,,974768591.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,51.87,48.13,0.0004,6,0.001,,974768591.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,40.1,61.02,0.0004,1,0.001,,556829468.734694
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,40.1,61.02,0.0005,2,0.001,,556829468.734694
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,40.1,61.02,0.0006,3,0.001,,556829468.734694
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,40.1,61.02,0.0005,4,0.001,,556829468.734694
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,40.1,61.02,0.0005,5,0.001,,556829468.734694
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,40.1,61.02,0.0004,6,0.001,,556829468.734694
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,52.48,47.72,0.0004,1,0.001,,1091598223.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,52.48,47.72,0.0004,2,0.001,,1091598223.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,52.48,47.72,0.0004,3,0.001,,1091598223.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,52.48,47.72,0.0004,4,0.001,,1091598223.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,52.48,47.72,0.0006,5,0.001,,1091598223.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,52.48,47.72,0.0004,6,0.001,,1091598223.673469
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,31.7,66.14,0.0004,1,0.001,,868725820.081633
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,31.7,66.14,0.0004,2,0.001,,868725820.081633
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,31.7,66.14,0.0004,3,0.001,,868725820.081633
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,31.7,66.14,0.0004,4,0.001,,868725820.081633
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,31.7,66.14,0.0004,5,0.001,,868725820.081633
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,31.7,66.14,0.0004,6,0.001,,868725820.081633
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,39.17,61.76,0.0007,1,0.001,,432030448.326531
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,39.17,61.76,0.0007,2,0.001,,432030448.326531
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,39.17,61.76,0.0007,3,0.001,,432030448.326531
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,39.17,61.76,0.0007,4,0.001,,432030448.326531
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,39.17,61.76,0.0007,5,0.001,,432030448.326531
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.005,X,APPNP,39.17,61.76,0.0007,6,0.001,,432030448.326531
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,29.1,70.25,0.0007,1,0.001,,819878627.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,29.1,70.25,0.0007,2,0.001,,819878627.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,29.1,70.25,0.0007,3,0.001,,819878627.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,29.1,70.25,0.0007,4,0.001,,819878627.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,29.1,70.25,0.0007,5,0.001,,819878627.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.01,X,APPNP,29.1,70.25,0.0007,6,0.001,,819878627.265306
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,37.84,61.67,0.0007,1,0.001,,368942316.408163
color_code,dp0.001_mf0.01_rf0.01_gd0.008,5,0.05,X,APPNP,37.84,61.67,0.0007,2,0.001,,368942316.408163
