Model,Distance,Num_Rounds,Noise_Model,Run,Shots,Stim_Error_Rate,Stim_Error_Type,Weight_Noise,Logical_Error_Rate,Total_Shots,Logical_Errors,Timestamp
MWPM+GCN,5,5,forte-1,2,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.219,1000,219,20260426_073340
GCN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.59,1000,590,20260426_073340
MWPM+GCN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.192,1000,192,20260426_073340
GCN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.811,1000,811,20260426_073340
MWPM+GCN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.21,1000,210,20260426_073340
GAT,5,5,forte-1,2,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.182,1000,182,20260426_073340
MWPM+GAT,5,5,forte-1,2,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.13,1000,130,20260426_073340
GAT,5,5,forte-1,2,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.237,1000,237,20260426_073340
MWPM+GAT,5,5,forte-1,2,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.143,1000,143,20260426_073340
GAT,5,5,forte-1,2,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.199,1000,199,20260426_073340
MWPM+GAT,5,5,forte-1,2,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.133,1000,133,20260426_073340
GNN,5,5,forte-1,2,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.477,1000,477,20260426_073340
MWPM+GNN,5,5,forte-1,2,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.176,1000,176,20260426_073340
GNN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.363,1000,363,20260426_073340
MWPM+GNN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.153,1000,153,20260426_073340
GNN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.174,1000,174,20260426_073340
MWPM+GNN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.124,1000,124,20260426_073340
GraphMamba,5,5,forte-1,2,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.167,1000,167,20260426_073340
MWPM+GraphMamba,5,5,forte-1,2,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.124,1000,124,20260426_073340
GraphMamba,5,5,forte-1,2,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.159,1000,159,20260426_073340
MWPM+GraphMamba,5,5,forte-1,2,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.123,1000,123,20260426_073340
GraphMamba,5,5,forte-1,2,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.161,1000,161,20260426_073340
MWPM+GraphMamba,5,5,forte-1,2,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.125,1000,125,20260426_073340
CNN,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.192,1000,192,20260426_073340
MWPM+CNN,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.129,1000,129,20260426_073340
CNN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.181,1000,181,20260426_073340
MWPM+CNN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.123,1000,123,20260426_073340
CNN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.2,1000,200,20260426_073340
MWPM+CNN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.131,1000,131,20260426_073340
GCNII,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.826,1000,826,20260426_073340
MWPM+GCNII,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.22,1000,220,20260426_073340
GCNII,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.826,1000,826,20260426_073340
MWPM+GCNII,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.22,1000,220,20260426_073340
GCNII,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.826,1000,826,20260426_073340
MWPM+GCNII,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.22,1000,220,20260426_073340
APPNP,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.174,1000,174,20260426_073340
MWPM+APPNP,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.124,1000,124,20260426_073340
APPNP,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.232,1000,232,20260426_073340
MWPM+APPNP,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.139,1000,139,20260426_073340
APPNP,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.826,1000,826,20260426_073340
MWPM+APPNP,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.22,1000,220,20260426_073340
GraphTransformer,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.175,1000,175,20260426_073340
MWPM+GraphTransformer,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.126,1000,126,20260426_073340
GraphTransformer,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.174,1000,174,20260426_073340
MWPM+GraphTransformer,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.124,1000,124,20260426_073340
GraphTransformer,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.174,1000,174,20260426_073340
MWPM+GraphTransformer,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.124,1000,124,20260426_073340
GCN,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.824,1000,824,20260426_073340
MWPM+GCN,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.22,1000,220,20260426_073340
GCN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.174,1000,174,20260426_073340
MWPM+GCN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.124,1000,124,20260426_073340
GCN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.826,1000,826,20260426_073340
MWPM+GCN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.22,1000,220,20260426_073340
GAT,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.185,1000,185,20260426_073340
MWPM+GAT,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.134,1000,134,20260426_073340
GAT,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.384,1000,384,20260426_073340
MWPM+GAT,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.163,1000,163,20260426_073340
GAT,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.2,1000,200,20260426_073340
MWPM+GAT,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.136,1000,136,20260426_073340
GNN,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.329,1000,329,20260426_073340
MWPM+GNN,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.158,1000,158,20260426_073340
GNN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.444,1000,444,20260426_073340
MWPM+GNN,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.165,1000,165,20260426_073340
GNN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.671,1000,671,20260426_073340
MWPM+GNN,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.192,1000,192,20260426_073340
GraphMamba,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.172,1000,172,20260426_073340
MWPM+GraphMamba,5,5,forte-1,2,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.124,1000,124,20260426_073340
GraphMamba,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.168,1000,168,20260426_073340
MWPM+GraphMamba,5,5,forte-1,2,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.124,1000,124,20260426_073340
GraphMamba,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.154,1000,154,20260426_073340
MWPM+GraphMamba,5,5,forte-1,2,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.124,1000,124,20260426_073340
No_Correction,5,5,forte-1,3,1000,0.0,,,0.171,1000,171,20260426_073503
MWPM_Restriction,5,5,forte-1,3,1000,0.0,,,0.112,1000,112,20260426_073503
CNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.173,1000,173,20260426_073503
MWPM+CNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.114,1000,114,20260426_073503
CNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.167,1000,167,20260426_073503
MWPM+CNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.112,1000,112,20260426_073503
CNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.174,1000,174,20260426_073503
MWPM+CNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.103,1000,103,20260426_073503
GCNII,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.829,1000,829,20260426_073503
MWPM+GCNII,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.232,1000,232,20260426_073503
GCNII,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.829,1000,829,20260426_073503
MWPM+GCNII,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.232,1000,232,20260426_073503
GCNII,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.829,1000,829,20260426_073503
MWPM+GCNII,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.232,1000,232,20260426_073503
APPNP,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.829,1000,829,20260426_073503
MWPM+APPNP,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.232,1000,232,20260426_073503
APPNP,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.829,1000,829,20260426_073503
MWPM+APPNP,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.232,1000,232,20260426_073503
APPNP,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.297,1000,297,20260426_073503
MWPM+APPNP,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.159,1000,159,20260426_073503
GraphTransformer,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.165,1000,165,20260426_073503
MWPM+GraphTransformer,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.111,1000,111,20260426_073503
GraphTransformer,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.159,1000,159,20260426_073503
MWPM+GraphTransformer,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.106,1000,106,20260426_073503
GraphTransformer,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.172,1000,172,20260426_073503
MWPM+GraphTransformer,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.111,1000,111,20260426_073503
GCN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.288,1000,288,20260426_073503
MWPM+GCN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.135,1000,135,20260426_073503
GCN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.41,1000,410,20260426_073503
MWPM+GCN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.147,1000,147,20260426_073503
GCN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.224,1000,224,20260426_073503
MWPM+GCN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.125,1000,125,20260426_073503
GAT,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.197,1000,197,20260426_073503
MWPM+GAT,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.112,1000,112,20260426_073503
GAT,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.178,1000,178,20260426_073503
MWPM+GAT,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.115,1000,115,20260426_073503
GAT,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.348,1000,348,20260426_073503
MWPM+GAT,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.152,1000,152,20260426_073503
GNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.74,1000,740,20260426_073503
MWPM+GNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.206,1000,206,20260426_073503
GNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.559,1000,559,20260426_073503
MWPM+GNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.168,1000,168,20260426_073503
GNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.719,1000,719,20260426_073503
MWPM+GNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.222,1000,222,20260426_073503
GraphMamba,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.162,1000,162,20260426_073503
MWPM+GraphMamba,5,5,forte-1,3,1000,0.005,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.111,1000,111,20260426_073503
GraphMamba,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.157,1000,157,20260426_073503
MWPM+GraphMamba,5,5,forte-1,3,1000,0.01,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.11,1000,110,20260426_073503
GraphMamba,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.155,1000,155,20260426_073503
MWPM+GraphMamba,5,5,forte-1,3,1000,0.05,X,realistic/dp0.001_mf0.01_rf0.01_gd0.008,0.112,1000,112,20260426_073503
CNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.19,1000,190,20260426_073503
MWPM+CNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.115,1000,115,20260426_073503
CNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.199,1000,199,20260426_073503
MWPM+CNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.118,1000,118,20260426_073503
CNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.188,1000,188,20260426_073503
MWPM+CNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.114,1000,114,20260426_073503
GCNII,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.829,1000,829,20260426_073503
MWPM+GCNII,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.232,1000,232,20260426_073503
GCNII,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.171,1000,171,20260426_073503
MWPM+GCNII,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.112,1000,112,20260426_073503
GCNII,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.171,1000,171,20260426_073503
MWPM+GCNII,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.112,1000,112,20260426_073503
APPNP,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.171,1000,171,20260426_073503
MWPM+APPNP,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.112,1000,112,20260426_073503
APPNP,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.682,1000,682,20260426_073503
MWPM+APPNP,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.184,1000,184,20260426_073503
APPNP,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.817,1000,817,20260426_073503
MWPM+APPNP,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.223,1000,223,20260426_073503
GraphTransformer,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.171,1000,171,20260426_073503
MWPM+GraphTransformer,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.112,1000,112,20260426_073503
GraphTransformer,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.165,1000,165,20260426_073503
MWPM+GraphTransformer,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.112,1000,112,20260426_073503
GraphTransformer,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.168,1000,168,20260426_073503
MWPM+GraphTransformer,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.11,1000,110,20260426_073503
GCN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.83,1000,830,20260426_073503
MWPM+GCN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.232,1000,232,20260426_073503
GCN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.615,1000,615,20260426_073503
MWPM+GCN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.19,1000,190,20260426_073503
GCN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.826,1000,826,20260426_073503
MWPM+GCN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.226,1000,226,20260426_073503
GAT,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.196,1000,196,20260426_073503
MWPM+GAT,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.119,1000,119,20260426_073503
GAT,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.229,1000,229,20260426_073503
MWPM+GAT,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.128,1000,128,20260426_073503
GAT,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.188,1000,188,20260426_073503
MWPM+GAT,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.109,1000,109,20260426_073503
GNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.432,1000,432,20260426_073503
MWPM+GNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.154,1000,154,20260426_073503
GNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.334,1000,334,20260426_073503
MWPM+GNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.141,1000,141,20260426_073503
GNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.171,1000,171,20260426_073503
MWPM+GNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.112,1000,112,20260426_073503
GraphMamba,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.161,1000,161,20260426_073503
MWPM+GraphMamba,5,5,forte-1,3,1000,0.005,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.111,1000,111,20260426_073503
GraphMamba,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.157,1000,157,20260426_073503
MWPM+GraphMamba,5,5,forte-1,3,1000,0.01,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.11,1000,110,20260426_073503
GraphMamba,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.158,1000,158,20260426_073503
MWPM+GraphMamba,5,5,forte-1,3,1000,0.05,X,realistic/dp0.005_mf0.02_rf0.02_gd0.015,0.112,1000,112,20260426_073503
CNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.183,1000,183,20260426_073503
MWPM+CNN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.114,1000,114,20260426_073503
CNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.186,1000,186,20260426_073503
MWPM+CNN,5,5,forte-1,3,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.113,1000,113,20260426_073503
CNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.185,1000,185,20260426_073503
MWPM+CNN,5,5,forte-1,3,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.119,1000,119,20260426_073503
GCNII,5,5,forte-1,3,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.829,1000,829,20260426_073503
MWPM+GCNII,5,5,forte-1,3,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.232,1000,232,20260426_073503
GCNII,5,5,forte-1,3,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.829,1000,829,20260426_073503
MWPM+GCNII,5,5,forte-1,3,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.232,1000,232,20260426_073503
GCNII,5,5,forte-1,3,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.829,1000,829,20260426_073503
MWPM+GCNII,5,5,forte-1,3,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.232,1000,232,20260426_073503
APPNP,5,5,forte-1,3,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.171,1000,171,20260426_073503
MWPM+APPNP,5,5,forte-1,3,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.112,1000,112,20260426_073503
APPNP,5,5,forte-1,3,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.219,1000,219,20260426_073503
MWPM+APPNP,5,5,forte-1,3,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.128,1000,128,20260426_073503
APPNP,5,5,forte-1,3,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.829,1000,829,20260426_073503
MWPM+APPNP,5,5,forte-1,3,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.232,1000,232,20260426_073503
GraphTransformer,5,5,forte-1,3,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.169,1000,169,20260426_073503
MWPM+GraphTransformer,5,5,forte-1,3,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.113,1000,113,20260426_073503
GraphTransformer,5,5,forte-1,3,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.171,1000,171,20260426_073503
MWPM+GraphTransformer,5,5,forte-1,3,1000,0.01,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.112,1000,112,20260426_073503
GraphTransformer,5,5,forte-1,3,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.171,1000,171,20260426_073503
MWPM+GraphTransformer,5,5,forte-1,3,1000,0.05,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.112,1000,112,20260426_073503
GCN,5,5,forte-1,3,1000,0.005,X,realistic/dp0.01_mf0.05_rf0.05_gd0.01,0.828,1000,828,20260426_073503
